x,series,value
0.218,f(x)-g(x),-0.544004
0.22,f(x),0.140233
0.22,g(x),0.6864
0.22,f(x)-g(x),-0.546167
0.222,f(x),0.14258
0.222,g(x),0.690864
0.222,f(x)-g(x),-0.548284
0.224,f(x),0.144941
0.224,g(x),0.695296
0.224,f(x)-g(x),-0.550355
0.226,f(x),0.147314
0.226,g(x),0.699696
0.226,f(x)-g(x),-0.552382
0.228,f(x),0.149702
0.228,g(x),0.704064
0.228,f(x)-g(x),-0.554362
0.23,f(x),0.152102
0.23,g(x),0.7084
0.23,f(x)-g(x),-0.556298
0.232,f(x),0.154515
0.232,g(x),0.712704
0.232,f(x)-g(x),-0.558189
0.234,f(x),0.15694
0.234,g(x),0.716976
0.234,f(x)-g(x),-0.560036
0.236,f(x),0.159379
0.236,g(x),0.721216
0.236,f(x)-g(x),-0.561837
0.238,f(x),0.161829
0.238,g(x),0.725424
0.238,f(x)-g(x),-0.563595
0.24,f(x),0.164291
0.24,g(x),0.7296
0.24,f(x)-g(x),-0.565309
0.242,f(x),0.166766
0.242,g(x),0.733744
0.242,f(x)-g(x),-0.566978
0.244,f(x),0.169251
0.244,g(x),0.737856
0.244,f(x)-g(x),-0.568605
0.246,f(x),0.171749
0.246,g(x),0.741936
0.246,f(x)-g(x),-0.570187
0.248,f(x),0.174257
0.248,g(x),0.745984
0.248,f(x)-g(x),-0.571727
0.25,f(x),0.176777
0.25,g(x),0.75
0.25,f(x)-g(x),-0.573223
0.252,f(x),0.179307
0.252,g(x),0.753984
0.252,f(x)-g(x),-0.574677
0.254,f(x),0.181848
0.254,g(x),0.757936
0.254,f(x)-g(x),-0.576088
0.256,f(x),0.184399
0.256,g(x),0.761856
0.256,f(x)-g(x),-0.577457
0.258,f(x),0.186961
0.258,g(x),0.765744
0.258,f(x)-g(x),-0.578783
0.26,f(x),0.189532
0.26,g(x),0.7696
0.26,f(x)-g(x),-0.580068
0.262,f(x),0.192113
0.262,g(x),0.773424
0.262,f(x)-g(x),-0.581311
0.264,f(x),0.194703
0.264,g(x),0.777216
0.264,f(x)-g(x),-0.582513
0.266,f(x),0.197303
0.266,g(x),0.780976
0.266,f(x)-g(x),-0.583673
0.268,f(x),0.199912
0.268,g(x),0.784704
0.268,f(x)-g(x),-0.584792
0.27,f(x),0.20253
0.27,g(x),0.7884
0.27,f(x)-g(x),-0.58587
0.272,f(x),0.205156
0.272,g(x),0.792064
0.272,f(x)-g(x),-0.586908
0.274,f(x),0.207791
0.274,g(x),0.795696
0.274,f(x)-g(x),-0.587905
0.276,f(x),0.210434
0.276,g(x),0.799296
0.276,f(x)-g(x),-0.588862
0.278,f(x),0.213085
0.278,g(x),0.802864
0.278,f(x)-g(x),-0.589779
0.28,f(x),0.215744
0.28,g(x),0.8064
0.28,f(x)-g(x),-0.590656
0.282,f(x),0.21841
0.282,g(x),0.809904
0.282,f(x)-g(x),-0.591494
0.284,f(x),0.221083
0.284,g(x),0.813376
0.284,f(x)-g(x),-0.592293
0.286,f(x),0.223764
0.286,g(x),0.816816
0.286,f(x)-g(x),-0.593052
0.288,f(x),0.226451
0.288,g(x),0.820224
0.288,f(x)-g(x),-0.593773
0.29,f(x),0.229145
0.29,g(x),0.8236
0.29,f(x)-g(x),-0.594455
0.292,f(x),0.231845
0.292,g(x),0.826944
0.292,f(x)-g(x),-0.595099
0.294,f(x),0.234552
0.294,g(x),0.830256
0.294,f(x)-g(x),-0.595704
0.296,f(x),0.237264
0.296,g(x),0.833536
0.296,f(x)-g(x),-0.596272
0.298,f(x),0.239982
0.298,g(x),0.836784
0.298,f(x)-g(x),-0.596802
0.3,f(x),0.242705
0.3,g(x),0.84
0.3,f(x)-g(x),-0.597295
0.302,f(x),0.245434
0.302,g(x),0.843184
0.302,f(x)-g(x),-0.59775
0.304,f(x),0.248167
0.304,g(x),0.846336
0.304,f(x)-g(x),-0.598169
0.306,f(x),0.250905
0.306,g(x),0.849456
0.306,f(x)-g(x),-0.598551
0.308,f(x),0.253648
0.308,g(x),0.852544
0.308,f(x)-g(x),-0.598896
0.31,f(x),0.256395
0.31,g(x),0.8556
0.31,f(x)-g(x),-0.599205
0.312,f(x),0.259146
0.312,g(x),0.858624
0.312,f(x)-g(x),-0.599478
0.314,f(x),0.261901
0.314,g(x),0.861616
0.314,f(x)-g(x),-0.599715
0.316,f(x),0.264659
0.316,g(x),0.864576
0.316,f(x)-g(x),-0.599917
0.318,f(x),0.26742
0.318,g(x),0.867504
0.318,f(x)-g(x),-0.600084
0.32,f(x),0.270185
0.32,g(x),0.8704
0.32,f(x)-g(x),-0.600215
0.322,f(x),0.272952
0.322,g(x),0.873264
0.322,f(x)-g(x),-0.600312
0.324,f(x),0.275722
0.324,g(x),0.876096
